Timestamp,ObjectID,Class,EnteredZone
2025-04-05 22:44:56,1,person,Yes
2025-04-05 22:45:06,3,person,Yes
2025-04-05 22:45:23,42,person,Yes
2025-04-05 22:46:45,129,person,Yes
2025-04-05 22:46:54,162,person,Yes
2025-04-05 22:46:57,163,person,Yes
2025-04-05 22:47:03,171,person,Yes
2025-04-05 22:47:16,181,cup,Yes
2025-04-05 22:47:32,200,person,Yes
2025-04-05 22:47:54,223,person,Yes
2025-04-05 22:48:17,246,person,Yes
2025-04-05 22:48:22,248,person,Yes
2025-04-05 22:49:01,264,person,Yes
2025-04-05 22:49:10,281,person,Yes
2025-04-05 22:50:34,385,person,Yes
2025-04-05 22:50:44,398,person,Yes
2025-04-05 22:50:59,420,person,Yes
2025-04-05 22:51:02,424,person,Yes
2025-04-05 22:51:30,470,bed,Yes
2025-04-05 22:51:42,480,person,Yes
2025-04-05 22:52:00,506,person,Yes
2025-04-05 22:52:12,528,person,Yes
2025-04-05 22:52:16,530,person,Yes
2025-04-05 22:52:27,547,person,Yes
2025-04-05 22:52:58,400,person,Yes
